Product,Panelist,Session,CocoaA,MilkA,CocoaF,MilkF,Caramel,Vanilla,Sweetness,Acidity,Bitterness,Astringency,Crunchy,Melting,Sticky,Granular
choc1,taster01,1,7,8,8,3,3,2,4,7,8,6,3,2,3,5
choc1,taster01,2,8,5,8,3,2,2,6,2,8,3,6,2,2,7
choc2,taster01,1,8,6,5,4,7,4,5,5,6,6,7,5,4,3
choc2,taster01,2,7,7,6,6,3,4,7,6,7,7,6,3,8,4
choc3,taster01,1,6,7,2,7,8,4,7,2,2,3,3,8,6,5
choc3,taster01,2,4,7,2,9,7,7,9,1,2,3,3,8,5,6
choc4,taster01,1,8,5,4,4,4,4,5,6,6,4,6,3,7,3
choc4,taster01,2,7,5,6,5,5,4,7,3,5,3,3,6,4,6
choc5,taster01,1,7,5,3,5,6,2,5,4,7,4,6,6,4,7
choc5,taster01,2,5,6,5,5,3,3,7,2,2,5,7,3,3,2
choc6,taster01,1,7,6,6,5,5,3,7,2,4,5,8,3,4,3
choc6,taster01,2,6,5,5,6,5,3,7,2,3,4,4,2,7,7
choc1,taster02,1,6,1,8,0,0,0,0,4,7,0,8,2,2,0
choc1,taster02,2,6,5,8,2,0,0,1,0,2,0,6,6,7,1
choc2,taster02,1,5,2,8,1,0,0,0,0,6,0,8,2,4,0
choc2,taster02,2,5,5,4,4,2,1,6,0,1,0,8,3,6,0
choc3,taster02,1,4,2,3,4,0,0,5,0,0,0,4,8,3,1
choc3,taster02,2,5,6,4,8,6,2,7,0,0,0,3,6,3,1
choc4,taster02,1,6,1,8,1,0,0,1,0,3,0,8,5,0,0
choc4,taster02,2,4,8,6,5,0,0,4,0,1,0,8,2,4,5
choc5,taster02,1,4,1,7,1,0,0,1,0,4,0,5,1,1,6
choc5,taster02,2,8,5,6,3,0,0,3,0,2,0,4,2,4,3
choc6,taster02,1,5,1,8,1,0,0,1,0,3,0,6,2,1,1
choc6,taster02,2,6,5,5,5,1,0,6,0,0,0,5,3,3,4
choc1,taster03,1,8,2,8,1,3,1,2,7,8,6,8,8,3,1
choc1,taster03,2,8,2,7,1,5,3,2,8,8,5,6,3,2,4
choc2,taster03,1,8,1,6,2,6,1,5,2,5,2,7,4,2,3
choc2,taster03,2,9,2,6,4,4,4,7,3,2,2,3,8,3,2
choc3,taster03,1,5,3,2,9,6,7,10,0,1,2,1,6,3,2
choc3,taster03,2,2,6,4,8,6,3,10,0,1,0,2,9,5,1
choc4,taster03,1,6,1,5,0,5,2,4,3,3,3,5,4,4,6
choc4,taster03,2,6,4,6,3,5,1,6,6,2,3,6,5,2,1
choc5,taster03,1,7,2,7,3,6,3,4,6,6,3,5,2,2,6
choc5,taster03,2,7,2,5,3,5,2,4,1,2,2,3,6,2,4
choc6,taster03,1,5,6,5,3,3,2,3,4,4,3,7,7,2,3
choc6,taster03,2,5,6,5,6,4,3,6,1,2,1,6,5,5,3
choc1,taster04,1,9,2,9,1,6,0,2,8,10,10,9,0,7,9
choc1,taster04,2,7,1,7,0,0,0,8,5,6,9,4,0,4,10
choc2,taster04,1,10,0,6,2,8,3,1,9,7,6,10,1,2,8
choc2,taster04,2,6,4,7,3,8,2,7,3,8,3,7,0,5,5
choc3,taster04,1,5,8,7,9,7,7,9,1,3,1,5,7,7,1
choc3,taster04,2,4,8,6,10,7,4,9,0,5,0,6,8,8,9
choc4,taster04,1,9,1,10,0,0,4,0,9,9,9,5,1,6,7
choc4,taster04,2,8,2,6,3,4,4,4,8,9,6,7,1,4,7
choc5,taster04,1,9,3,7,6,7,6,7,7,7,2,5,5,8,7
choc5,taster04,2,8,3,9,0,6,0,0,8,7,9,10,8,10,0
choc6,taster04,1,8,5,7,2,5,0,2,2,5,6,6,1,9,7
choc6,taster04,2,9,0,9,1,5,0,2,6,9,7,10,1,8,9
choc1,taster05,1,7,6,9,2,0,2,2,4,8,7,7,4,6,3
choc1,taster05,2,10,1,10,3,0,0,3,5,7,7,7,7,3,6
choc2,taster05,1,7,3,5,3,4,2,8,5,3,2,5,5,5,0
choc2,taster05,2,9,6,8,3,4,0,6,2,4,2,10,5,5,2
choc3,taster05,1,8,2,5,4,5,2,8,6,3,3,6,8,8,0
choc3,taster05,2,6,6,4,6,6,6,8,5,2,4,8,4,7,2
choc4,taster05,1,8,4,9,2,2,2,4,3,7,7,9,5,7,5
